bin.229	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
bin.23	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9973	f__UBA2103	g__C7867-001	s__
bin.237	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.242	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__PSRF01	s__
bin.252	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.257	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.259	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Dermatophilaceae	g__Terrabacter	s__
bin.266	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__
bin.270	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__Terrimicrobium	s__
bin.279	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Allosphingosinicella	s__
bin.281	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
bin.33	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
bin.39	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__JAFAXD01	s__
bin.4	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Gp1-AA117	g__Angelobacter	s__
bin.40	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__Chlamydiales	f__Rhabdochlamydiaceae	g__CANJJB01	s__
bin.42	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.45	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
bin.49	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__DP-1	s__
bin.5	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
bin.50	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.51	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__IMCC26256	f__IMCC26256	g__	s__
bin.54	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__VGSZ01	g__	s__
bin.55	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__QHBO01	f__QHBO01	g__JAICQM01	s__
